task,step,reward,planning,memory,recovery,terminal,loss
training-loop,86,0.421917,0.000000,0.000000,0.000000,0.000000,-0.044200
training-loop,87,0.421917,0.000000,0.000000,0.000000,0.000000,-0.044100
training-loop,88,0.421917,0.000000,0.000000,0.000000,0.000000,-0.044200
training-loop,89,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,90,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,91,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,92,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,93,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,94,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,95,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,96,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,97,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,98,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,99,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,100,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,101,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,102,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,103,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,104,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,105,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,106,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,107,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,108,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,109,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,110,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,111,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,112,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,113,0.462917,0.000000,0.000000,0.000000,0.000000,-0.044000
training-loop,114,0.462917,0.000000,0.000000,0.000000,0.000000,-0.043900
training-loop,115,0.462917,0.000000,0.000000,0.000000,0.000000,-0.043600
training-loop,116,0.462917,0.000000,0.000000,0.000000,0.000000,-0.043900
training-loop,117,0.462917,0.000000,0.000000,0.000000,0.000000,-0.043800
training-loop,118,0.462917,0.000000,0.000000,0.000000,0.000000,-0.044100
training-loop,119,0.462917,0.000000,0.000000,0.000000,0.000000,0.307300
training-loop,120,0.462917,0.000000,0.000000,0.000000,0.000000,-0.044000
training-loop,121,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,122,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,123,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,124,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,125,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,126,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,127,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,128,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,129,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,130,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
